"SNP","P_value","beta","adjusted_p_value"
"rs11208648_G",0.447661688827795,-0.151079291978643,0.935810037664227
"rs2642442_C",0.0204792363138323,0.216043520410269,0.491501671531975
"rs1260326_T",0.133676735462407,-0.138663136300144,0.935810037664227
"rs1919127_C",0.856095550593367,-0.0186343484824771,0.949013503415999
"rs12987055_C",0.779841698053523,-0.0287392643956042,0.935810037664227
"rs3749147_A",0.949013503415999,-0.00656670597170079,0.949013503415999
"rs6832102_G",0.279324776139852,0.107753089744323,0.935810037664227
"rs72613567_TA",0.746525557492286,0.032412581273389,0.935810037664227
"rs17616248_C",0.485953900208222,0.138446339992215,0.935810037664227
"rs7832606_T",0.498886236553966,-0.11975995153787,0.935810037664227
"rs2954029_T",0.62465624203321,0.0434603860866939,0.935810037664227
"rs2954033_A",0.27773272887367,-0.105948565902387,0.935810037664227
"rs1728765_G",0.234457487260173,0.124522763672697,0.935810037664227
"rs67801643_T",0.336834087987067,-0.12245327895024,0.935810037664227
"rs58542926_T",0.529179379966718,0.102317784930946,0.935810037664227
"rs10415849_T",0.0551467937111945,0.248315456661087,0.661761524534334
"rs17216525_T",0.632134209390697,0.0763798423013854,0.935810037664227
"rs429358_C",0.645717733025784,-0.0586524538026973,0.935810037664227
"rs9617963_A",0.939643432256336,-0.00823785996519148,0.949013503415999
"rs738409_G",0.894937365518282,-0.014165306542738,0.949013503415999
"rs78569621_T",0.493594585798976,0.276041074885177,0.935810037664227
"rs9625965_C",0.219105299179354,-0.229431466213664,0.935810037664227
"rs76015644_G",0.732158285484425,-0.104957591882321,0.935810037664227
"rs3761472_G",0.760169743717665,0.0361619385078709,0.935810037664227
