"SNP","P_value","beta"
"rs11208648_G",1.3898702959408e-09,-2.43995095159326
"rs2642442_C",0.972176399678126,0.00732986493932003
"rs1260326_T",1.30439585564122e-05,0.88455233333916
"rs1919127_C",0.0345378116675985,0.482378829391405
"rs12987055_C",0.00166596238558576,0.720126551448313
"rs3749147_A",0.000432824390661397,0.812866157719143
"rs6832102_G",0.613428447821715,-0.112470884226639
"rs72613567_TA",0.807389433098098,0.0545629697935336
"rs17616248_C",0.339986440347758,0.442450258642789
"rs7832606_T",0.00150081586145063,-1.12631782865105
"rs2954029_T",0.79600948643644,0.0504359988567188
"rs2954033_A",0.00519313855103896,0.595058324224879
"rs1728765_G",0.076520642899638,-0.409291395243825
"rs67801643_T",0.113254820473302,-0.421919635049607
"rs58542926_T",0.997968049615654,0.000905248304595709
"rs10415849_T",0.844335378657043,-0.0562226172877251
"rs17216525_T",0.62924023279537,0.166687162233074
"rs429358_C",0.631776442114856,0.133951969617335
"rs9617963_A",0.912778759202255,-0.0259848271035756
"rs738409_G",0.00293296181266023,0.693747180225228
"rs78569621_T",0.472014380165978,0.608312693402394
"rs9625965_C",0.00702479823170431,1.08469056697062
"rs76015644_G",0.317474715739216,0.696802326438987
"rs3761472_G",0.466644331577014,0.189843517516232
